bootstrap_id	Method	Metric	Value
44	Complete Hi-C clique	AUROC	0.5639011048371446
44	Complete Hi-C clique	AUPRC	0.5870529157533322
44	Complete Hi-C clique	Precision	0.9861120296276701
44	Complete Hi-C clique	Recall	0.1298437799334715
44	Complete Hi-C clique	F1	0.2294723720558022
45	SGMCI	AUROC	0.8424287385542841
45	SGMCI	AUPRC	0.8385755997050541
45	SGMCI	Precision	0.629041641493813
45	SGMCI	Recall	0.9792054894721259
45	SGMCI	F1	0.7660029563831309
45	Complete Hi-C clique	AUROC	0.5642952874624889
45	Complete Hi-C clique	AUPRC	0.5874097611908828
45	Complete Hi-C clique	Precision	0.985939553219448
45	Complete Hi-C clique	Recall	0.13067103223671606
45	Complete Hi-C clique	F1	0.2307585846314721
46	SGMCI	AUROC	0.8421333366547283
46	SGMCI	AUPRC	0.8392947474760251
46	SGMCI	Precision	0.6297538335787346
46	SGMCI	Recall	0.9795189745554608
46	SGMCI	F1	0.7666267971116723
46	Complete Hi-C clique	AUROC	0.5637557229204269
46	Complete Hi-C clique	AUPRC	0.5870362562418853
46	Complete Hi-C clique	Precision	0.988084143256557
46	Complete Hi-C clique	Recall	0.12925164144272802
46	Complete Hi-C clique	F1	0.2286000308024026
47	SGMCI	AUROC	0.8410147050665597
47	SGMCI	AUPRC	0.8370815200237185
47	SGMCI	Precision	0.6287247121940315
47	SGMCI	Recall	0.9796757170971281
47	SGMCI	F1	0.7659116748020615
47	Complete Hi-C clique	AUROC	0.5646836232140376
47	Complete Hi-C clique	AUPRC	0.5879167644565652
47	Complete Hi-C clique	Precision	0.988314842775553
47	Complete Hi-C clique	Recall	0.13109772026681063
47	Complete Hi-C clique	F1	0.23148895603170574
48	SGMCI	AUROC	0.8424876637168218
48	SGMCI	AUPRC	0.8390051783097474
48	SGMCI	Precision	0.628046908577393
48	SGMCI	Recall	0.979806335881851
48	SGMCI	F1	0.7654483919794554
48	Complete Hi-C clique	AUROC	0.5651574616853029
48	Complete Hi-C clique	AUPRC	0.5881584263614994
48	Complete Hi-C clique	Precision	0.9850524136145982
48	Complete Hi-C clique	Recall	0.1325606506557063
48	Complete Hi-C clique	F1	0.23367512970865442
49	SGMCI	AUROC	0.841973734591689
49	SGMCI	AUPRC	0.8382803931166326
49	SGMCI	Precision	0.6292996907522047
49	SGMCI	Recall	0.9799195388286107
49	SGMCI	F1	0.766412744033045
49	Complete Hi-C clique	AUROC	0.5649776647710945
49	Complete Hi-C clique	AUPRC	0.5881789017557156
49	Complete Hi-C clique	Precision	0.9881115683584819
49	Complete Hi-C clique	Recall	0.1317246904334802
49	Complete Hi-C clique	F1	0.2324602180611155
50	SGMCI	AUROC	0.8415552061615539
50	SGMCI	AUPRC	0.8388149879849675
50	SGMCI	Precision	0.6290570659925165
50	SGMCI	Recall	0.9793883557707379
50	SGMCI	F1	0.7660703399845386
50	Complete Hi-C clique	AUROC	0.565016433728076
50	Complete Hi-C clique	AUPRC	0.5881453195263092
50	Complete Hi-C clique	Precision	0.986975774941391
50	Complete Hi-C clique	Recall	0.13197722008394433
50	Complete Hi-C clique	F1	0.23282178902253559
51	SGMCI	AUROC	0.8413215351891412
51	SGMCI	AUPRC	0.8381830702651177
51	SGMCI	Precision	0.6285985695127403
51	SGMCI	Recall	0.9795886379073129
51	SGMCI	F1	0.7657914621610766
51	Complete Hi-C clique	AUROC	0.5638513016900059
51	Complete Hi-C clique	AUPRC	0.5870914060149675
51	Complete Hi-C clique	Precision	0.9875190865033526
51	Complete Hi-C clique	Recall	0.1295302948501367
51	Complete Hi-C clique	F1	0.2290205618124571
52	SGMCI	AUROC	0.8426925750729309
52	SGMCI	AUPRC	0.8386316868715433
52	SGMCI	Precision	0.6307058361832146
52	SGMCI	Recall	0.9796321775022205
52	SGMCI	F1	0.7673665111456714
52	Complete Hi-C clique	AUROC	0.563924214913548
52	Complete Hi-C clique	AUPRC	0.5872189116354269
52	Complete Hi-C clique	Precision	0.9885034556087188
52	Complete Hi-C clique	Recall	0.1295302948501367
52	Complete Hi-C clique	F1	0.22904701045532233
53	SGMCI	AUROC	0.8431391125987135
53	SGMCI	AUPRC	0.8399495769352876
53	SGMCI	Precision	0.6284502603759248
53	SGMCI	Recall	0.979423187446664
53	SGMCI	F1	0.765630849868963
53	Complete Hi-C clique	AUROC	0.5646280355848152
53	Complete Hi-C clique	AUPRC	0.5878720787252038
53	Complete Hi-C clique	Precision	0.9884332281808622
53	Complete Hi-C clique	Recall	0.13096710148208782
53	Complete Hi-C clique	F1	0.23128854168268564
54	SGMCI	AUROC	0.8413983217358845
54	SGMCI	AUPRC	0.8380922941661328
54	SGMCI	Precision	0.6291114973814966
54	SGMCI	Recall	0.9801633605600933
54	SGMCI	F1	0.7663476955442764
54	Complete Hi-C clique	AUROC	0.5645425395529482
54	Complete Hi-C clique	AUPRC	0.5875698996380693
54	Complete Hi-C clique	Precision	0.9847881438924071
54	Complete Hi-C clique	Recall	0.13135024991727476
54	Complete Hi-C clique	F1	0.23178517920940414
55	SGMCI	AUROC	0.8405394821680711
55	SGMCI	AUPRC	0.8365863508459842
55	SGMCI	Precision	0.6286347720711011
55	SGMCI	Recall	0.980241731830927
55	SGMCI	F1	0.7660178219640907
55	Complete Hi-C clique	AUROC	0.5645323387196617
55	Complete Hi-C clique	AUPRC	0.5877152711381941
55	Complete Hi-C clique	Precision	0.987327642810243
55	Complete Hi-C clique	Recall	0.13094097772514324
55	Complete Hi-C clique	F1	0.23121751699111232
56	SGMCI	AUROC	0.8417019083783285
56	SGMCI	AUPRC	0.8374637018791554
56	SGMCI	Precision	0.628482747455801
56	SGMCI	Recall	0.9803549347776869
56	SGMCI	F1	0.7659394974334203
56	Complete Hi-C clique	AUROC	0.564726537791292
56	Complete Hi-C clique	AUPRC	0.5878520345271545
56	Complete Hi-C clique	Precision	0.9866013071895425
56	Complete Hi-C clique	Recall	0.13144603702607152
56	Complete Hi-C clique	F1	0.23198450875224766
57	SGMCI	AUROC	0.8429714578989825
57	SGMCI	AUPRC	0.8395478299500377
57	SGMCI	Precision	0.6289738430583501
57	SGMCI	Recall	0.9799543705045368
57	SGMCI	F1	0.7661816869668231
57	Complete Hi-C clique	AUROC	0.5638183796068202
57	Complete Hi-C clique	AUPRC	0.5869747733121918
57	Complete Hi-C clique	Precision	0.9860945570123163
57	Complete Hi-C clique	Recall	0.1296783294728226
57	Complete Hi-C clique	F1	0.22921348314606743
58	SGMCI	AUROC	0.8424841301617841
58	SGMCI	AUPRC	0.8387754325262993
58	SGMCI	Precision	0.6293228793843951
58	SGMCI	Recall	0.9799282467475923
